distance from center of iris [cm]	u	v	ellipticity u/v
13	780	510	1.529411765
13.5	754	454	1.660792952
14	712	492	1.447154472
14.5	731	459	1.592592593
15	733	457	1.603938731
15.5	728	461	1.579175705
16	725	457	1.58643326
16.5	723	468	1.544871795
17	712	454	1.568281938
17.5	707	465	1.520430108
18	700	467	1.498929336
18.5	703	474	1.483122363
19	701	477	1.469601677
19.5	706	502	1.406374502
20	707	492	1.43699187
20.5	670	501	1.337325349
21	642	472	1.360169492
21.5	641	487	1.316221766
22	618	479	1.290187891
22.5	637	474	1.343881857
23	565	511	1.105675147
23.5	603	502	1.201195219
24	553	503	1.099403579
24.5	548	508	1.078740157
25	541	525	1.03047619
25.5	531	514	1.03307393
26	528	508	1.039370079
26.5	509	506	1.005928854
27	514	528	0.973484848
27.5	520	524	0.992366412
28	513	526	0.975285171
28.5	486	530	0.916981132
29	483	546	0.884615385
29.5	500	532	0.939849624
30	504	547	0.921389397
30.5	480	554	0.866425993
31	508	548	0.927007299
31.5	503	560	0.898214286
32	495	565	0.876106195
32.5	491	558	0.879928315
33	493	569	0.866432337
33.5	486	582	0.835051546
34	470	579	0.811744387
35	499	583	0.855917667
36	465	560	0.830357143
37	457	568	0.804577465
38	495	584	0.84760274
39	496	592	0.837837838
40	476	609	0.781609195
41	480	612	0.784313725
42	495	625	0.792
43	499	637	0.783359498
44	502	639	0.785602504
45	495	654	0.756880734
46	494	664	0.743975904
47	507	669	0.757847534
48	519	673	0.771173848
49	532	673	0.790490342
50	548	688	0.796511628
51	530	655	0.809160305
53	550	662	0.83081571
55	571	742	0.769541779
57	585	744	0.786290323
59	599	767	0.780964798
