angle	Pout	std	T
0	10.510	0.260	0.901
10	10.920	0.262	0.936
20	10.750	0.261	0.921
30	9.665	0.224	0.828
40	8.077	0.176	0.692
50	6.441	0.134	0.552
60	4.544	0.101	0.389
70	2.765	0.077	0.237
80	1.381	0.047	0.118
85	0.800	0.200	0.069
115	1.031	0.044	0.088
120	1.591	0.055	0.136
130	3.131	0.070	0.268
140	4.866	0.105	0.417
150	6.780	0.156	0.581
160	8.504	0.189	0.729
170	10.020	0.192	0.859
180	10.960	0.262	0.939
190	11.460	0.203	0.982
200	10.910	0.227	0.935
210	9.848	0.193	0.844
220	8.404	0.178	0.720
230	6.608	0.133	0.566
240	4.711	0.107	0.404
250	3.030	0.079	0.260
260	1.535	0.049	0.132
265	0.717	0.250	0.061
295	0.801	0.200	0.069
300	1.449	0.049	0.124
310	2.855	0.069	0.245
320	4.569	0.130	0.392
330	6.380	0.149	0.547
340	8.178	0.195	0.701
350	9.642	0.208	0.826


