angle	Pout	std	T
0	19.03	0.468	0.932
10	19.76	0.406	0.968
20	19.32	0.445	0.947
30	17.66	0.39	0.865
40	15.13	0.344	0.741
50	12.1	0.273	0.593
60	8.531	0.178	0.418
70	5.445	0.128	0.267
80	2.555	0.069	0.125
90	0.872	0.131	0.043
112	1.028	0.051	0.050
120	2.472	0.069	0.121
130	5.074	0.112	0.249
140	8.205	0.202	0.402
150	11.57	0.275	0.567
160	14.91	0.26	0.731
170	17.48	0.377	0.856
180	19.39	0.441	0.950
190	19.8	0.454	0.970
200	19.33	0.426	0.947
210	17.94	0.313	0.879
220	15.1	0.358	0.740
230	11.88	0.265	0.582
240	8.176	0.177	0.401
250	5.17	0.118	0.253
260	2.689	0.66	0.132
269	1.07	0.045	0.052
293	1.051	0.051	0.051
300	2.207	0.063	0.108
310	4.958	0.115	0.243
320	8.043	0.18	0.394
330	11.39	0.266	0.558
340	14.48	0.309	0.709
350	17.26	0.376	0.846

