Angle [Deg]	Pout	std
0	7.551	0.277
10	7.45	0.341
20	7.201	0.365
30	7.221	0.401
40	7.411	0.349
50	7.51	0.315
60	7.3435	0.396
70	7.45	0.381
80	7.362	0.335
90	7.402	0.34
100	7.244	0.305
110	7.309	0.391
120	7.286	0.367
130	7.277	0.377
140	7.358	0.4
150	7.211	0.401
160	7.357	0.0295
170	7.402	0.311
180	7.293	0.373
190	7.561	0.362
200	7.646	0.276
210	7.54	0.357
220	7.413	0.35
230	7.667	0.326
240	7.672	0.3
250	7.763	0.312
260	7.747	0.316
270	7.662	0.402
280	7.431	0.395
290	7.361	0.348
300	7.538	0.327
310	7.492	0.327
320	7.583	0.275
330	7.535	0.275
340	7.481	0.309
350	7.484	0.367

