Angle [Deg]	Pout	std
0	15.53	0.43
10	15.47	0.425
20	15.32	0.465
30	15.45	0.467
40	15.45	0.422
50	15.54	0.441
60	15.64	0.451
70	15.7	0.45
80	15.64	0.447
90	15.74	0.459
100	15.65	0.45
110	15.75	0.386
120	15.55	0.441
130	15.54	0.504
140	15.46	0.474
150	15.35	0.445
160	15.3	0.45
170	15.34	0.475
180	15.33	0.451
190	15.43	0.424
200	15.41	0.469
210	15.4	0.438
220	15.43	0.425
230	15.64	0.425
240	15.75	0.468
250	15.63	0.472
260	15.86	0.511
270	16	0.435
280	15.92	0.465
290	15.83	0.453
300	15.77	0.439
310	15.88	0.441
320	15.74	0.42
330	15.66	0.464
340	15.69	0.45
350	15.32	0.432

